fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
1,AL,Alabama,Social and Economic Factors,2021,28.7,31.5,0.797,0.598,0.728,0.756,0.677,0.676,0.741,0.87,83979,115489,1189,2030,3868,8707,215262,0.127,16,76,2,2
2,AK,Alaska,Social and Economic Factors,2021,61.6,63.2,0.754,0.586,0.694,0.595,0.693,0.699,0.728,0.87,18909,2030,4299,3437,2022,1967,32664,0.141,21,66,3,3
4,AZ,Arizona,Social and Economic Factors,2021,36.3,39.8,0.729,0.563,0.749,0.756,0.674,0.63,0.701,0.87,213482,26941,7344,7373,6313,120226,381679,0.167,32,65,2,4
5,AR,Arkansas,Social and Economic Factors,2021,47.5,56.5,0.792,0.6,0.689,0.801,0.71,0.686,0.757,0.87,61423,40640,1102,885,2566,8823,115439,0.111,9,76,3,2
6,CA,California,Social and Economic Factors,2021,California's reconviction rate for Fiscal Year 2017-2018 was 44.6%,,0.644,0.466,0.585,0.625,0.585,0.515,0.592,0.87,1340128,297022,13281,402059,74994,1227402,3354886,0.276,46,34,2,5
8,CO,Colorado,Social and Economic Factors,2021,44.9,50,0.728,0.555,0.606,0.695,0.659,0.604,0.7,0.87,207247,21789,2475,8544,6498,79476,326029,0.168,33,58,3,4
9,CT,Connecticut,Social and Economic Factors,2021,49,37,0.695,0.507,0.583,0.695,0.608,0.502,0.654,0.87,166883,42135,508,8327,3981,55328,277162,0.214,42,36,3,5
10,DE,Delaware,Social and Economic Factors,2021,60.2,64.5,0.757,0.611,0.592,0.784,0.578,0.541,0.713,0.87,25761,16448,329,933,1138,6790,51400,0.155,31,39,4,3
12,FL,Florida,Social and Economic Factors,2021,25.4,24.5,0.706,0.515,0.637,0.692,0.62,0.532,0.646,0.87,727716,319557,3256,27497,19469,468980,1566475,0.223,43,44,2,5
13,GA,Georgia,Social and Economic Factors,2022,Georgia's reconviction rate for Fiscal Year 2019 was 23.3%,,0.765,0.586,0.633,0.721,0.652,0.601,0.698,0.87,207368,285794,1855,16454,8689,58254,578414,0.171,34,62,2,4
15,HI,Hawaii,Social and Economic Factors,2018,Hawaii posted an overall recidisivm rate of 61.4% for FY 2015 and defines recidivism as \criminal arrests (most recent charge after supervision start date), revocations,0.576,0.468,,0.657,0.639,0.521,0.617,0.87,37395,3247,,41607,13952,10317,,,,,,
16,ID,Idaho,Social and Economic Factors,2021,36.3,31.1,0.745,0.615,0.685,0.759,0.703,0.686,0.739,0.87,60378,661,965,642,1251,7834,71731,0.129,17,81,2,2
