fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
1,AL,Alabama,Social and Economic Factors,2021,28.7,31.5,0.941,0.877,0.93,0.95,0.873,0.941,0.923,0.99,65194,58740,540,1089,2968,3606,132136,0.063,43,39,2,4
2,AK,Alaska,Social and Economic Factors,2021,61.6,63.2,0.954,0.856,0.806,0.934,0.887,0.951,0.929,0.99,8025,1614,7409,1545,2150,865,21608,0.057,33,8,5,4
4,AZ,Arizona,Social and Economic Factors,2021,36.3,39.8,0.941,0.897,0.837,0.94,0.878,0.919,0.928,0.99,75676,10919,13981,4868,5482,58896,169822,0.058,34,32,4,4
5,AR,Arkansas,Social and Economic Factors,2021,47.5,56.5,0.947,0.888,0.917,0.934,0.897,0.955,0.937,0.99,38533,18648,481,1255,1870,2752,63540,0.049,23,59,2,3
6,CA,California,Social and Economic Factors,2021,California's reconviction rate for Fiscal Year 2017-2018 was 44.6%,,0.936,0.867,0.868,0.936,0.897,0.915,0.923,0.99,368795,114995,6645,138314,39736,481494,1149978,0.063,44,36,2,4
8,CO,Colorado,Social and Economic Factors,2021,44.9,50,0.952,0.906,0.912,0.945,0.899,0.927,0.945,0.99,66809,7828,1020,3392,4658,29757,113463,0.042,14,67,2,2
9,CT,Connecticut,Social and Economic Factors,2021,49,37,0.942,0.871,0.862,0.935,0.888,0.886,0.926,0.99,57292,20467,352,4150,2806,26336,111403,0.06,39,33,3,4
10,DE,Delaware,Social and Economic Factors,2021,60.2,64.5,0.942,0.911,0.904,0.958,0.869,0.935,0.935,0.99,12747,6956,129,528,786,1853,23000,0.052,24,52,2,3
12,FL,Florida,Social and Economic Factors,2021,25.4,24.5,0.938,0.881,0.888,0.942,0.89,0.927,0.926,0.99,233463,143956,1614,11720,12562,140544,543858,0.06,38,44,2,4
13,GA,Georgia,Social and Economic Factors,2022,Georgia's reconviction rate for Fiscal Year 2019 was 23.3%,,0.942,0.884,0.905,0.947,0.894,0.939,0.924,0.99,115124,148141,675,7662,5871,20119,297591,0.063,42,44,2,4
15,HI,Hawaii,Social and Economic Factors,2018,Hawaii posted an overall recidisivm rate of 61.4% for FY 2015 and defines recidivism as \criminal arrests (most recent charge after supervision start date),,0.959,0.935,,0.96,0.943,0.934,0.954,0.99,4616,766,,8494,5359,3304,,,,,,
16,ID,Idaho,Social and Economic Factors,2021,36.3,31.1,0.95,0.894,0.845,0.954,0.878,0.938,0.946,0.99,22977,418,1016,326,1344,4200,30281,0.04,13,41,5,2
17,IL,Illinois,Social and Economic Factors,2021,38.5,39.9,0.946,0.831,0.874,0.933,0.875,0.921,0.926,0.99,165700,121750,742,18231,8896,65858,381177,0.06,37,23,4,4
18,IN,Indiana,Social and Economic Factors,2021,38.2,33.9,0.948,0.872,0.935,0.934,0.889,0.928,0.939,0.99,100671,29989,279,3261,3894,10798,148893,0.047,19,56,2,2
19,IA,Iowa,Social and Economic Factors,2021,38.7,34.2,0.964,0.9,0.892,0.928,0.912,0.92,0.958,0.99,31433,3778,422,2092,1243,5155,44122,0.028,4,68,4,1
20,KS,Kansas,Social and Economic Factors,2021,34.7,36,0.958,0.895,0.859,0.939,0.882,0.933,0.949,0.99,31850,7020,1166,1894,3008,7915,52852,0.037,11,49,4,1
21,KY,Kentucky,Social and Economic Factors,2021,46.4,46.4,0.937,0.881,0.849,0.954,0.857,0.935,0.932,0.99,83294,16800,512,938,3214,3479,108236,0.055,29,29,4,3
22,LA,Louisiana,Social and Economic Factors,2021,29.6,32,0.946,0.887,0.921,0.944,0.891,0.936,0.928,0.99,51409,60948,604,1694,2302,5445,122402,0.059,35,50,2,4
23,ME,Maine,Social and Economic Factors,2021,26.3,30.5,0.952,0.854,0.906,0.967,0.864,0.953,0.949,0.99,21911,889,262,141,1202,319,24724,0.037,12,43,5,1
24,MD,Maryland,Social and Economic Factors,2021,40.5,40.5,0.952,0.91,0.882,0.947,0.913,0.938,0.938,0.99,55103,66700,595,7714,4386,13751,148249,0.049,22,59,2,3
25,MA,Massachusetts,Social and Economic Factors,2021,33,32,0.948,0.895,0.887,0.928,0.907,0.902,0.938,0.99,100697,20850,412,12843,4143,29097,168041,0.048,21,55,2,3
26,MI,Michigan,Social and Economic Factors,2021,26.6,28.1,0.941,0.84,0.907,0.935,0.863,0.914,0.926,0.99,164536,85167,1548,7243,9818,15234,283547,0.061,40,29,4,4
27,MN,Minnesota,Social and Economic Factors,2021,25,25,0.965,0.883,0.838,0.932,0.927,0.919,0.956,0.99,50715,14777,3050,6994,2818,8897,87250,0.03,5,43,5,1
28,MS,Mississippi,Social and Economic Factors,2021,36.8,33.4,0.94,0.872,0.881,0.948,0.872,0.907,0.914,0.99,35094,52834,536,536,1048,2884,92932,0.072,47,27,2,5
29,MO,Missouri,Social and Economic Factors,2021,37.2,42.7,0.951,0.881,0.883,0.957,0.906,0.936,0.942,0.99,83928,33520,1154,1696,3582,5450,129330,0.045,16,55,3,2
30,MT,Montana,Social and Economic Factors,2021,38.6,42.2,0.961,0.906,0.829,0.958,0.941,0.935,0.953,0.99,11172,196,3679,136,404,805,16392,0.033,9,49,5,1
31,NE,Nebraska,Social and Economic Factors,2021,30.2,25.5,0.97,0.916,0.852,0.917,0.939,0.921,0.962,0.99,12758,2826,774,1445,660,5588,24051,0.025,2,59,5,1
32,NV,Nevada,Social and Economic Factors,2021,24.6,28.6,0.929,0.853,0.853,0.928,0.891,0.92,0.919,0.99,40843,14561,1518,7251,3548,25348,93069,0.067,46,26,3,5
33,NH,New Hampshire,Social and Economic Factors,2021,41.5,45,0.955,0.923,0.861,0.942,0.947,0.924,0.953,0.99,20496,481,147,805,321,1368,23619,0.033,8,66,3,1
34,NJ,New Jersey,Social and Economic Factors,2021,30.4,29.8,0.942,0.879,0.87,0.944,0.889,0.927,0.931,0.99,113818,58578,420,18115,5410,50681,247022,0.056,31,43,3,4
35,NM,New Mexico,Social and Economic Factors,2021,49.1,49.1,0.941,0.903,0.83,0.949,0.891,0.916,0.92,0.99,16928,1487,11037,564,1245,30016,61277,0.067,45,25,3,5
36,NY,New York,Social and Economic Factors,2021,43,43,0.949,0.889,0.844,0.938,0.905,0.91,0.932,0.99,205477,123137,2435,38134,10916,128142,508241,0.054,27,39,3,3
