fips,state,state_exp,var,domain, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin, fpl099_rate , fpl100_rate , fpl200_rate , fpl300_rate , fpl400_rate ,fpl099_dtgnum,fpl100_dtgnum,fpl200_dtgnum,fpl300_dtgnum,fpl400_dtgnum, nohsg_rate , hsgrad_rate , somecoll_rate , collgrad_rate ,nohsg_dtgnum,hsgrad_dtgnum,somecoll_dtgnum,collgrad_dtgnum,dtgnum_ses, dtgperc_ses ,rankdtg_ses
1,AL,Alabama,hown,Physical Environment,0.78,0.526,0.703,0.564,0.688,0.468,0.702,0.81,33041,128080,921,4603,2511,16199,185355,0.104,14,94,2,2,,,,,,,,,,,0.58,0.685,0.687,0.801,54257,61718,67091,2642,185708,0.104,17
2,AK,Alaska,hown,Physical Environment,0.72,0.36,0.616,0.55,0.565,0.487,0.669,0.81,14716,3242,5062,3400,2850,3844,33114,0.138,33,70,3,3,,,,,,,,,,,0.616,0.615,0.632,0.76,3023,10826,15891,3619,33358,0.139,36
4,AZ,Arizona,hown,Physical Environment,0.714,0.337,0.564,0.631,0.518,0.535,0.65,0.81,146238,43345,16955,12010,9634,142430,370613,0.157,36,64,3,4,,,,,,,,,,,0.523,0.605,0.638,0.737,74920,99902,142583,53800,371204,0.157,39
5,AR,Arkansas,hown,Physical Environment,0.735,0.456,0.622,0.515,0.66,0.525,0.679,0.81,59912,56400,1182,4080,2478,14358,138411,0.127,25,83,2,3,,,,,,,,,,,0.577,0.666,0.668,0.77,34049,49058,46262,9496,138864,0.128,28
6,CA,California,hown,Physical Environment,0.642,0.35,0.513,0.591,0.473,0.437,0.554,0.81,1009512,348440,14543,367713,90741,1314141,3145090,0.252,45,30,2,5,,,,,,,,,,,0.389,0.498,0.557,0.642,748307,673433,970162,762156,3154059,0.253,49
8,CO,Colorado,hown,Physical Environment,0.722,0.411,0.523,0.631,0.544,0.515,0.672,0.81,128144,28171,2762,8927,8415,90180,266599,0.135,31,75,3,3,,,,,,,,,,,0.478,0.61,0.639,0.756,47990,71992,104366,43106,267454,0.135,34
9,CT,Connecticut,hown,Physical Environment,0.768,0.397,0.526,0.578,0.517,0.344,0.674,0.81,37945,49194,516,11225,4603,72466,175949,0.133,30,57,4,3,,,,,,,,,,,0.395,0.596,0.665,0.785,47825,69955,48204,11522,177505,0.134,33
10,DE,Delaware,hown,Physical Environment,0.805,0.54,0.708,0.608,0.585,0.479,0.723,0.81,340,17868,124,2252,896,6994,28475,0.083,7,100,3,1,,,,,,,,,,,0.538,0.693,0.713,0.805,8317,10911,9241,178,28647,0.084,8
12,FL,Florida,hown,Physical Environment,0.745,0.458,0.638,0.693,0.586,0.515,0.659,0.81,286050,330073,2505,18343,17950,421043,1075964,0.148,35,79,2,4,,,,,,,,,,,0.525,0.622,0.651,0.738,208531,346869,362145,162227,1079772,0.148,38
13,GA,Georgia,hown,Physical Environment,0.748,0.477,0.574,0.656,0.567,0.468,0.643,0.81,120836,349306,1945,17453,10029,76281,575850,0.164,39,70,2,4,,,,,,,,,,,0.498,0.61,0.617,0.743,130058,175856,197339,74267,577521,0.164,42
