fips,state,state_exp,var,domain, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin, fpl099_rate , fpl100_rate , fpl200_rate , fpl300_rate , fpl400_rate ,fpl099_dtgnum,fpl100_dtgnum,fpl200_dtgnum,fpl300_dtgnum,fpl400_dtgnum, nohsg_rate , hsgrad_rate , somecoll_rate , collgrad_rate ,nohsg_dtgnum,hsgrad_dtgnum,somecoll_dtgnum,collgrad_dtgnum,dtgnum_ses, dtgperc_ses ,rankdtg_ses
1,AL,Alabama,livinc,Social and Economic Factors, 0.627 , 0.400 , 0.541 , 0.648 , 0.515 , 0.366 , 0.562 ,0.88,571877,386398,6373,10110,10546,51946,1037250, 0.317 ,44,47,2,5,,,,,,,,,,, 0.266 , 0.478 , 0.587 , 0.818 ,294678,405886,285048,48690,1034302, 0.316 ,45
2,AK,Alaska,livinc,Social and Economic Factors, 0.778 , 0.582 , 0.431 , 0.626 , 0.690 , 0.670 , 0.709 ,0.88,32288,4437,27107,8674,3613,5327,81446, 0.171 ,6,79,3,1,,,,,,,,,,, 0.437 , 0.600 , 0.718 , 0.875 ,15972,36508,27291,547,80318, 0.169 ,6
4,AZ,Arizona,livinc,Social and Economic Factors, 0.674 , 0.496 , 0.335 , 0.661 , 0.594 , 0.414 , 0.589 ,0.88,584634,66458,86536,33516,15171,521273,1307587, 0.290 ,36,46,3,4,,,,,,,,,,, 0.274 , 0.487 , 0.610 , 0.802 ,368331,427432,410705,98096,1304563, 0.289 ,37
5,AR,Arkansas,livinc,Social and Economic Factors, 0.574 , 0.351 , 0.425 , 0.609 , 0.521 , 0.293 , 0.527 ,0.88,467640,146107,6514,8767,7755,61566,698350, 0.352 ,49,31,3,5,,,,,,,,,,, 0.252 , 0.449 , 0.553 , 0.797 ,179326,292828,188836,35564,696554, 0.351 ,50
6,CA,California,livinc,Social and Economic Factors, 0.725 , 0.525 , 0.511 , 0.700 , 0.658 , 0.455 , 0.619 ,0.88,1730357,526264,41584,727531,104515,3604123,6734375, 0.259 ,27,65,2,3,,,,,,,,,,, 0.312 , 0.511 , 0.645 , 0.831 ,2572662,1966124,1779007,399803,6717596, 0.259 ,28
8,CO,Colorado,livinc,Social and Economic Factors, 0.736 , 0.535 , 0.506 , 0.700 , 0.625 , 0.475 , 0.679 ,0.88,387025,47174,8442,20913,12323,254723,730600, 0.199 ,11,74,3,2,,,,,,,,,,, 0.354 , 0.560 , 0.657 , 0.835 ,170580,251859,244845,63217,730501, 0.199 ,12
9,CT,Connecticut,livinc,Social and Economic Factors, 0.786 , 0.550 , 0.659 , 0.755 , 0.614 , 0.474 , 0.722 ,0.88,167307,75312,1049,13417,6005,125438,388528, 0.157 ,3,82,3,1,,,,,,,,,,, 0.394 , 0.619 , 0.712 , 0.883 ,117428,174570,101484,0,393482, 0.159 ,3
10,DE,Delaware,livinc,Social and Economic Factors, 0.726 , 0.564 , 0.573 , 0.768 , 0.563 , 0.457 , 0.675 ,0.88,67786,40114,663,2793,2313,18675,132343, 0.203 ,13,74,3,2,,,,,,,,,,, 0.373 , 0.576 , 0.694 , 0.862 ,35174,61550,32646,3353,132722, 0.204 ,14
12,FL,Florida,livinc,Social and Economic Factors, 0.649 , 0.418 , 0.518 , 0.641 , 0.557 , 0.451 , 0.571 ,0.88,1972643,900787,13501,94523,43481,1399079,4424015, 0.307 ,41,55,2,4,,,,,,,,,,, 0.291 , 0.469 , 0.594 , 0.775 ,1049543,1709062,1236194,425731,4420530, 0.307 ,42
13,GA,Georgia,livinc,Social and Economic Factors, 0.664 , 0.468 , 0.521 , 0.648 , 0.571 , 0.374 , 0.583 ,0.88,835087,806195,5648,61833,20601,249000,1978363, 0.296 ,37,54,2,4,,,,,,,,,,, 0.269 , 0.474 , 0.595 , 0.820 ,560931,759416,536487,118068,1974902, 0.295 ,38
