fips,state,state_exp,var,domain, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin, fpl099_rate , fpl100_rate , fpl200_rate , fpl300_rate , fpl400_rate ,fpl099_dtgnum,fpl100_dtgnum,fpl200_dtgnum,fpl300_dtgnum,fpl400_dtgnum, nohsg_rate , hsgrad_rate , somecoll_rate , collgrad_rate ,nohsg_dtgnum,hsgrad_dtgnum,somecoll_dtgnum,collgrad_dtgnum,dtgnum_ses, dtgperc_ses ,rankdtg_ses
1,AL,Alabama,youthsw,Social and Economic Factors, 0.865 , 0.791 , 0.880 , 0.929 , 0.861 , 0.815 , 0.840 ,1.00,48388,39588,422,668,1496,5133,95696, 0.159 ,36,51,2,5,,,,,,,,,,,,,,,,,,,,,
2,AK,Alaska,youthsw,Social and Economic Factors, 0.890 , 0.885 , 0.677 , 0.875 , 0.832 , 0.896 , 0.848 ,1.00,5646,482,5163,951,1423,900,14565, 0.151 ,33,37,4,5,,,,,,,,,,,,,,,,,,,,,
4,AZ,Arizona,youthsw,Social and Economic Factors, 0.889 , 0.824 , 0.680 , 0.933 , 0.889 , 0.832 , 0.853 ,1.00,41127,7413,13751,1945,2662,58449,125348, 0.147 ,31,36,4,4,,,,,,,,,,,,,,,,,,,,,
5,AR,Arkansas,youthsw,Social and Economic Factors, 0.859 , 0.789 , 0.771 , 0.842 , 0.845 , 0.863 , 0.845 ,1.00,34480,14666,702,1148,1304,4628,56928, 0.156 ,35,58,2,5,,,,,,,,,,,,,,,,,,,,,
6,CA,California,youthsw,Social and Economic Factors, 0.893 , 0.796 , 0.787 , 0.928 , 0.894 , 0.860 , 0.875 ,1.00,155838,61433,4517,44491,18904,333195,618380, 0.125 ,22,74,3,3,,,,,,,,,,,,,,,,,,,,,
8,CO,Colorado,youthsw,Social and Economic Factors, 0.915 , 0.860 , 0.775 , 0.919 , 0.904 , 0.859 , 0.896 ,1.00,33858,4196,1216,1728,2080,24927,68006, 0.104 ,10,88,3,2,,,,,,,,,,,,,,,,,,,,,
9,CT,Connecticut,youthsw,Social and Economic Factors, 0.932 , 0.826 ,, 0.935 , 0.929 , 0.841 , 0.902 ,1.00,18696,9305,,1320,816,13793,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DE,Delaware,youthsw,Social and Economic Factors, 0.900 , 0.811 ,, 0.909 , 0.874 , 0.819 , 0.866 ,1.00,6094,5566,,389,458,2269,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,FL,Florida,youthsw,Social and Economic Factors, 0.887 , 0.819 , 0.763 , 0.921 , 0.882 , 0.869 , 0.868 ,1.00,116279,83776,1453,5171,6158,83646,296483, 0.132 ,26,69,3,4,,,,,,,,,,,,,,,,,,,,,
13,GA,Georgia,youthsw,Social and Economic Factors, 0.877 , 0.806 , 0.891 , 0.920 , 0.871 , 0.862 , 0.852 ,1.00,75424,88636,344,4009,3705,18907,191025, 0.148 ,32,63,2,4,,,,,,,,,,,,,,,,,,,,,
15,HI,Hawaii,youthsw,Social and Economic Factors, 0.886 , 0.936 ,, 0.879 , 0.900 , 0.843 , 0.882 ,1.00,3623,301,,7381,4116,3505,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ID,Idaho,youthsw,Social and Economic Factors, 0.876 , 0.867 , 0.741 , 0.865 , 0.873 , 0.863 , 0.872 ,1.00,19612,285,645,472,700,4592,26307, 0.128 ,24,72,3,3,,,,,,,,,,,,,,,,,,,,,
17,IL,Illinois,youthsw,Social and Economic Factors, 0.914 , 0.762 , 0.923 , 0.935 , 0.883 , 0.879 , 0.881 ,1.00,73927,64087,191,5352,4057,39767,187380, 0.119 ,16,76,3,3,,,,,,,,,,,,,,,,,,,,,
18,IN,Indiana,youthsw,Social and Economic Factors, 0.891 , 0.795 , 0.850 , 0.946 , 0.869 , 0.856 , 0.879 ,1.00,69676,18749,293,1495,2833,9949,102995, 0.121 ,18,80,2,3,,,,,,,,,,,,,,,,,,,,,
