fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
1,AL,Alabama,Social and Economic Factors,2021,28.7,31.5,0.797,0.598,0.728,0.756,0.677,0.676,0.741,0.87,83979,115489.0,1189.0,2030,3868,8707,215262.0,0.127,16.0,76.0,2.0,2.0
2,AK,Alaska,Social and Economic Factors,2021,61.6,63.2,0.754,0.586,0.694,0.595,0.693,0.699,0.728,0.87,18909,2030.0,4299.0,3437,2022,1967,32664.0,0.141,21.0,66.0,3.0,3.0
4,AZ,Arizona,Social and Economic Factors,2021,36.3,39.8,0.729,0.563,0.749,0.756,0.674,0.63,0.701,0.87,213482,26941.0,7344.0,7373,6313,120226,381679.0,0.167,32.0,65.0,2.0,4.0
5,AR,Arkansas,Social and Economic Factors,2021,47.5,56.5,0.792,0.6,0.689,0.801,0.71,0.686,0.757,0.87,61423,40640.0,1102.0,885,2566,8823,115439.0,0.111,9.0,76.0,3.0,2.0
8,CO,Colorado,Social and Economic Factors,2021,44.9,50.0,0.728,0.555,0.606,0.695,0.659,0.604,0.7,0.87,207247,21789.0,2475.0,8544,6498,79476,326029.0,0.168,33.0,58.0,3.0,4.0
9,CT,Connecticut,Social and Economic Factors,2021,49.0,37.0,0.695,0.507,0.583,0.695,0.608,0.502,0.654,0.87,166883,42135.0,508.0,8327,3981,55328,277162.0,0.214,42.0,36.0,3.0,5.0
10,DE,Delaware,Social and Economic Factors,2021,60.2,64.5,0.757,0.611,0.592,0.784,0.578,0.541,0.713,0.87,25761,16448.0,329.0,933,1138,6790,51400.0,0.155,31.0,39.0,4.0,3.0
12,FL,Florida,Social and Economic Factors,2021,25.4,24.5,0.706,0.515,0.637,0.692,0.62,0.532,0.646,0.87,727716,319557.0,3256.0,27497,19469,468980,1566475.0,0.223,43.0,44.0,2.0,5.0
16,ID,Idaho,Social and Economic Factors,2021,36.3,31.1,0.745,0.615,0.685,0.759,0.703,0.686,0.739,0.87,60378,661.0,965.0,642,1251,7834,71731.0,0.129,17.0,81.0,2.0,2.0
17,IL,Illinois,Social and Economic Factors,2021,38.5,39.9,0.745,0.524,0.527,0.688,0.666,0.584,0.694,0.87,387437,206140.0,2037.0,36744,9621,147407,789385.0,0.175,35.0,38.0,4.0,4.0
18,IN,Indiana,Social and Economic Factors,2021,38.2,33.9,0.787,0.561,0.694,0.776,0.649,0.672,0.761,0.87,159924,61793.0,908.0,3332,5385,20222,251564.0,0.108,8.0,62.0,3.0,2.0
19,IA,Iowa,Social and Economic Factors,2021,38.7,34.2,0.801,0.571,0.612,0.742,0.686,0.719,0.789,0.87,70415,8943.0,770.0,2540,1672,6073,90414.0,0.079,3.0,52.0,4.0,1.0
20,KS,Kansas,Social and Economic Factors,2021,34.7,36.0,0.79,0.591,0.698,0.792,0.674,0.705,0.771,0.87,66306,15064.0,1236.0,1659,2969,12624,99859.0,0.098,7.0,73.0,3.0,1.0
