fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
1,AL,Alabama,Social and Economic Factors,2021,28.7,31.5,0.941,0.877,0.93,0.95,0.873,0.941,0.923,0.99,65194,58740,540.0,1089,2968,3606,132136.0,0.063,43.0,39.0,2.0,4.0
2,AK,Alaska,Social and Economic Factors,2021,61.6,63.2,0.954,0.856,0.806,0.934,0.887,0.951,0.929,0.99,8025,1614,7409.0,1545,2150,865,21608.0,0.057,33.0,8.0,5.0,4.0
4,AZ,Arizona,Social and Economic Factors,2021,36.3,39.8,0.941,0.897,0.837,0.94,0.878,0.919,0.928,0.99,75676,10919,13981.0,4868,5482,58896,169822.0,0.058,34.0,32.0,4.0,4.0
5,AR,Arkansas,Social and Economic Factors,2021,47.5,56.5,0.947,0.888,0.917,0.934,0.897,0.955,0.937,0.99,38533,18648,481.0,1255,1870,2752,63540.0,0.049,23.0,59.0,2.0,3.0
8,CO,Colorado,Social and Economic Factors,2021,44.9,50.0,0.952,0.906,0.912,0.945,0.899,0.927,0.945,0.99,66809,7828,1020.0,3392,4658,29757,113463.0,0.042,14.0,67.0,2.0,2.0
9,CT,Connecticut,Social and Economic Factors,2021,49.0,37.0,0.942,0.871,0.862,0.935,0.888,0.886,0.926,0.99,57292,20467,352.0,4150,2806,26336,111403.0,0.06,39.0,33.0,3.0,4.0
10,DE,Delaware,Social and Economic Factors,2021,60.2,64.5,0.942,0.911,0.904,0.958,0.869,0.935,0.935,0.99,12747,6956,129.0,528,786,1853,23000.0,0.052,24.0,52.0,2.0,3.0
12,FL,Florida,Social and Economic Factors,2021,25.4,24.5,0.938,0.881,0.888,0.942,0.89,0.927,0.926,0.99,233463,143956,1614.0,11720,12562,140544,543858.0,0.06,38.0,44.0,2.0,4.0
16,ID,Idaho,Social and Economic Factors,2021,36.3,31.1,0.95,0.894,0.845,0.954,0.878,0.938,0.946,0.99,22977,418,1016.0,326,1344,4200,30281.0,0.04,13.0,41.0,5.0,2.0
17,IL,Illinois,Social and Economic Factors,2021,38.5,39.9,0.946,0.831,0.874,0.933,0.875,0.921,0.926,0.99,165700,121750,742.0,18231,8896,65858,381177.0,0.06,37.0,23.0,4.0,4.0
