fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
1,AL,Alabama,Social and Economic Factors,2021,28.7,31.5,0.627,0.4,0.541,0.648,0.515,0.366,0.562,0.88,571877,386398,6373,10110,10546,51946,1037250,0.317,44,47,2,5
2,AK,Alaska,Social and Economic Factors,2021,61.6,63.2,0.778,0.582,0.431,0.626,0.69,0.67,0.709,0.88,32288,4437,27107,8674,3613,5327,81446,0.171,6,79,3,1
4,AZ,Arizona,Social and Economic Factors,2021,36.3,39.8,0.674,0.496,0.335,0.661,0.594,0.414,0.589,0.88,584634,66458,86536,33516,15171,521273,1307587,0.29,36,46,3,4
5,AR,Arkansas,Social and Economic Factors,2021,47.5,56.5,0.574,0.351,0.425,0.609,0.521,0.293,0.527,0.88,467640,146107,6514,8767,7755,61566,698350,0.352,49,31,3,5
8,CO,Colorado,Social and Economic Factors,2021,44.9,50.0,0.736,0.535,0.506,0.7,0.625,0.475,0.679,0.88,387025,47174,8442,20913,12323,254723,730600,0.199,11,74,3,2
9,CT,Connecticut,Social and Economic Factors,2021,49.0,37.0,0.786,0.55,0.659,0.755,0.614,0.474,0.722,0.88,167307,75312,1049,13417,6005,125438,388528,0.157,3,82,3,1
10,DE,Delaware,Social and Economic Factors,2021,60.2,64.5,0.726,0.564,0.573,0.768,0.563,0.457,0.675,0.88,67786,40114,663,2793,2313,18675,132343,0.203,13,74,3,2
12,FL,Florida,Social and Economic Factors,2021,25.4,24.5,0.649,0.418,0.518,0.641,0.557,0.451,0.571,0.88,1972643,900787,13501,94523,43481,1399079,4424015,0.307,41,55,2,4
16,ID,Idaho,Social and Economic Factors,2021,36.3,31.1,0.606,0.446,0.381,0.616,0.498,0.372,0.58,0.88,251090,2452,5784,4382,5020,49546,318274,0.299,39,45,3,4
17,IL,Illinois,Social and Economic Factors,2021,38.5,39.9,0.721,0.451,0.478,0.716,0.613,0.472,0.65,0.88,905922,491262,5355,76938,19185,483144,1981805,0.229,21,63,3,2
18,IN,Indiana,Social and Economic Factors,2021,38.2,33.9,0.642,0.414,0.431,0.609,0.469,0.422,0.609,0.88,863049,171070,4672,22524,15113,100655,1177085,0.269,31,49,3,4
19,IA,Iowa,Social and Economic Factors,2021,38.7,34.2,0.677,0.35,0.352,0.608,0.496,0.438,0.655,0.88,375006,29283,2842,11859,5351,36966,461308,0.223,17,31,5,2
20,KS,Kansas,Social and Economic Factors,2021,34.7,36.0,0.681,0.445,0.456,0.665,0.527,0.426,0.642,0.88,302081,43835,6134,11220,8689,73475,445434,0.236,23,56,4,3
21,KY,Kentucky,Social and Economic Factors,2021,46.4,46.4,0.569,0.4,0.335,0.602,0.484,0.388,0.552,0.88,810206,103648,3608,11237,9849,37456,976004,0.327,45,38,3,5
22,LA,Louisiana,Social and Economic Factors,2021,29.6,32.0,0.643,0.368,0.485,0.592,0.513,0.457,0.551,0.88,458562,464783,7476,16014,9227,57331,1013393,0.327,46,48,2,5
23,ME,Maine,Social and Economic Factors,2021,26.3,30.5,0.622,0.37,0.437,0.602,0.461,0.519,0.616,0.88,235052,4574,2478,2796,3818,3883,252601,0.263,28,51,3,3
24,MD,Maryland,Social and Economic Factors,2021,40.5,40.5,0.787,0.656,0.686,0.766,0.722,0.561,0.729,0.88,207900,259639,1955,30223,8368,102682,610766,0.149,2,100,1,1
25,MA,Massachusetts,Social and Economic Factors,2021,33.0,32.0,0.762,0.557,0.506,0.7,0.625,0.432,0.714,0.88,425246,95491,3043,51934,11664,187060,774439,0.165,4,70,4,1
26,MI,Michigan,Social and Economic Factors,2021,26.6,28.1,0.656,0.414,0.471,0.687,0.459,0.452,0.615,0.88,1183044,398621,14784,35857,32329,103463,1768097,0.263,29,52,3,3
27,MN,Minnesota,Social and Economic Factors,2021,25.0,25.0,0.741,0.387,0.33,0.638,0.585,0.424,0.703,0.88,434379,86005,18176,37222,11176,63093,650051,0.176,8,27,5,1
28,MS,Mississippi,Social and Economic Factors,2021,36.8,33.4,0.606,0.338,0.299,0.548,0.438,0.363,0.504,0.88,325446,364604,4996,6760,5115,25164,732086,0.374,50,25,3,5
