fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
1,AL,Alabama,Social and Economic Factors,2021,28.7,31.5,0.569,0.477,0.57,0.677,0.658,0.339,0.542,0.83,594198,285134,4907,6742,4984,49776,945742,0.289,44,52,2,5
2,AK,Alaska,Social and Economic Factors,2021,61.6,63.2,0.711,0.574,0.363,0.567,0.652,0.649,0.648,0.83,38395,3831,28304,9049,3407,4630,87616,0.184,9,73,4,2
4,AZ,Arizona,Social and Economic Factors,2021,36.3,39.8,0.712,0.646,0.442,0.736,0.728,0.393,0.622,0.83,337165,32076,61812,14589,5470,490239,941351,0.208,20,56,4,2
5,AR,Arkansas,Social and Economic Factors,2021,47.5,56.5,0.532,0.461,0.501,0.615,0.585,0.267,0.51,0.83,458737,102279,4726,7021,5336,59268,637366,0.321,48,42,2,5
8,CO,Colorado,Social and Economic Factors,2021,44.9,50.0,0.765,0.634,0.59,0.701,0.764,0.409,0.696,0.83,178266,26957,5452,15193,3226,266226,495320,0.135,1,83,4,1
9,CT,Connecticut,Social and Economic Factors,2021,49.0,37.0,0.676,0.513,0.626,0.777,0.649,0.394,0.629,0.83,279520,72836,978,5847,4110,135410,498700,0.201,17,70,3,2
10,DE,Delaware,Social and Economic Factors,2021,60.2,64.5,0.608,0.534,0.377,0.801,0.65,0.345,0.583,0.83,99031,37833,982,737,1323,21524,161430,0.248,34,27,5,4
12,FL,Florida,Social and Economic Factors,2021,25.4,24.5,0.635,0.487,0.539,0.691,0.675,0.495,0.585,0.83,1679000,671625,10888,55587,21094,1099197,3537390,0.246,32,82,1,4
16,ID,Idaho,Social and Economic Factors,2021,36.3,31.1,0.654,0.665,0.475,0.7,0.689,0.334,0.624,0.83,162163,939,4134,2179,1868,48557,219841,0.206,18,56,5,2
17,IL,Illinois,Social and Economic Factors,2021,38.5,39.9,0.67,0.572,0.597,0.798,0.731,0.352,0.621,0.83,923949,296872,3127,15595,7196,568242,1814982,0.209,21,54,5,2
18,IN,Indiana,Social and Economic Factors,2021,38.2,33.9,0.554,0.524,0.495,0.711,0.631,0.353,0.545,0.83,1008381,112879,3500,9969,7368,105194,1247292,0.286,42,54,2,5
19,IA,Iowa,Social and Economic Factors,2021,38.7,34.2,0.616,0.544,0.548,0.668,0.689,0.335,0.604,0.83,400192,15878,1525,7115,1984,41569,468264,0.227,27,64,3,3
20,KS,Kansas,Social and Economic Factors,2021,34.7,36.0,0.677,0.583,0.636,0.658,0.66,0.355,0.643,0.83,235501,25037,2819,9072,4205,77191,353825,0.188,12,76,3,2
21,KY,Kentucky,Social and Economic Factors,2021,46.4,46.4,0.52,0.516,0.484,0.678,0.621,0.398,0.52,0.83,812738,68211,2301,6187,5219,32985,927642,0.311,47,58,1,5
22,LA,Louisiana,Social and Economic Factors,2021,29.6,32.0,0.544,0.423,0.375,0.561,0.585,0.423,0.503,0.83,558517,370911,8638,15062,6206,55430,1014764,0.328,49,59,1,5
23,ME,Maine,Social and Economic Factors,2021,26.3,30.5,0.599,0.602,0.545,0.651,0.573,0.689,0.6,0.83,211825,2053,1599,1816,2351,1530,221174,0.23,29,100,1,3
24,MD,Maryland,Social and Economic Factors,2021,40.5,40.5,0.687,0.592,0.578,0.785,0.752,0.408,0.645,0.83,326022,278765,2561,12257,4187,136404,760195,0.186,10,73,4,2
25,MA,Massachusetts,Social and Economic Factors,2021,33.0,32.0,0.689,0.56,0.515,0.713,0.676,0.403,0.657,0.83,515823,80300,2574,34176,7093,179131,819097,0.174,7,76,4,2
26,MI,Michigan,Social and Economic Factors,2021,26.6,28.1,0.622,0.539,0.533,0.78,0.633,0.449,0.609,0.83,1108805,250231,10784,9338,15259,92635,1487053,0.221,25,77,2,3
27,MN,Minnesota,Social and Economic Factors,2021,25.0,25.0,0.692,0.574,0.515,0.639,0.718,0.393,0.672,0.83,436774,44947,10451,29565,4290,60723,586750,0.159,4,72,4,1
28,MS,Mississippi,Social and Economic Factors,2021,36.8,33.4,0.577,0.456,0.445,0.613,0.651,0.361,0.53,0.83,302295,252218,3317,4451,2089,22886,587257,0.3,46,55,2,5
29,MO,Missouri,Social and Economic Factors,2021,37.2,42.7,0.589,0.536,0.563,0.74,0.633,0.455,0.583,0.83,821730,126916,4650,7193,9019,46425,1015933,0.248,35,79,1,4
30,MT,Montana,Social and Economic Factors,2021,38.6,42.2,0.647,0.5,0.517,0.632,0.599,0.503,0.636,0.83,115921,904,10755,1059,2513,5938,137090,0.195,16,92,1,2
31,NE,Nebraska,Social and Economic Factors,2021,30.2,25.5,0.675,0.585,0.478,0.621,0.698,0.295,0.641,0.83,161738,12371,2980,5594,1387,50318,234389,0.19,14,44,5,2
32,NV,Nevada,Social and Economic Factors,2021,24.6,28.6,0.651,0.565,0.552,0.679,0.689,0.332,0.574,0.83,201305,41593,4741,28274,5555,222526,503994,0.256,38,56,3,4
33,NH,New Hampshire,Social and Economic Factors,2021,41.5,45.0,0.652,0.613,0.497,0.737,0.571,0.536,0.649,0.83,156097,2078,659,2123,2067,7051,170074,0.181,8,96,1,2
34,NJ,New Jersey,Social and Economic Factors,2021,30.4,29.8,0.652,0.531,0.499,0.811,0.693,0.406,0.61,0.83,657395,226424,2790,11707,7414,450769,1356498,0.22,23,57,4,3
35,NM,New Mexico,Social and Economic Factors,2021,49.1,49.1,0.732,0.677,0.443,0.696,0.765,0.441,0.583,0.83,61033,3790,42637,3038,921,230933,342352,0.248,33,45,4,4
36,NY,New York,Social and Economic Factors,2021,43.0,43.0,0.667,0.523,0.541,0.605,0.664,0.404,0.597,0.83,1325177,589569,10871,267656,24134,973381,3190788,0.234,30,79,1,3
37,NC,North Carolina,Social and Economic Factors,2021,35.8,21.0,0.652,0.538,0.456,0.705,0.686,0.335,0.607,0.83,828265,402731,27581,22974,9303,223892,1514746,0.223,26,51,5,3
38,ND,North Dakota,Social and Economic Factors,2021,41.2,45.7,0.667,0.646,0.582,0.658,0.675,0.431,0.657,0.83,70755,1769,4887,1140,731,4515,83796,0.173,6,96,2,2
39,OH,Ohio,Social and Economic Factors,2021,32.7,30.7,0.565,0.518,0.553,0.733,0.619,0.443,0.56,0.83,1734553,276522,4401,15805,16415,82078,2129775,0.27,40,71,1,4
40,OK,Oklahoma,Social and Economic Factors,2021,22.6,24.8,0.591,0.547,0.497,0.616,0.575,0.31,0.561,0.83,442813,49449,62888,11835,24399,98257,689642,0.27,41,60,2,4
42,PA,Pennsylvania,Social and Economic Factors,2021,47.1,46.4,0.555,0.475,0.505,0.675,0.65,0.378,0.543,0.83,1982116,304057,4043,43714,12774,207638,2554342,0.287,43,60,2,5
45,SC,South Carolina,Social and Economic Factors,2021,21.0,24.5,0.625,0.45,0.486,0.657,0.613,0.357,0.57,0.83,461967,320231,4241,8949,5799,66535,867723,0.261,39,59,3,4
46,SD,South Dakota,Social and Economic Factors,2021,44.0,39.6,0.629,0.576,0.441,0.579,0.579,0.428,0.61,0.83,98559,2135,13960,1754,1470,5526,123404,0.22,24,78,2,3
50,VT,Vermont,Social and Economic Factors,2021,43.8,45.0,0.623,0.641,0.403,0.568,0.695,0.733,0.624,0.83,86270,694,631,1583,665,589,90432,0.207,19,80,2,2
51,VA,Virginia,Social and Economic Factors,2021,22.3,23.4,0.679,0.546,0.608,0.758,0.753,0.466,0.645,0.83,570827,295268,3436,26677,6035,153887,1056130,0.186,11,86,2,2
53,WA,Washington,Social and Economic Factors,2021,30.7,32.0,0.717,0.634,0.526,0.705,0.712,0.397,0.682,0.83,416966,33428,17973,55864,13737,188990,726959,0.148,3,77,4,1
54,WV,West Virginia,Social and Economic Factors,2021,29.3,24.0,0.447,0.503,0.421,0.775,0.602,0.509,0.454,0.83,465275,13519,1178,554,2420,4794,487740,0.377,50,0,5,5
55,WI,Wisconsin,Social and Economic Factors,2021,38.1,37.5,0.622,0.489,0.493,0.665,0.673,0.374,0.603,0.83,702871,69863,10442,14631,4639,85056,887502,0.227,28,65,3,3
56,WY,Wyoming,Social and Economic Factors,2021,33.8,28.2,0.659,0.728,0.601,0.759,0.654,0.438,0.643,0.83,58242,428,1549,268,699,11890,73076,0.188,13,88,2,2
