fips,state,state_exp,domain,dataYear,reIncarcerationRate,reIncarcerationRate2018, white_rate , black_rate , aian_rate , aspi_rate , multi_rate , hisp_rate , state_rate ,benchmark,white_dtgnum,black_dtgnum,aian_dtgnum,aspi_dtgnum,multi_dtgnum,hisp_dtgnum,dtgnum_re, dtgperc_re ,rankdtg_re,iss,eqquin,dtgquin
1,AL,Alabama,Social and Economic Factors,2021,28.7,31.5,0.865,0.791,0.88,0.929,0.861,0.815,0.84,1,48388,39588.0,422.0,668.0,1496,5133,95696.0,0.159,36.0,51.0,2.0,5.0
2,AK,Alaska,Social and Economic Factors,2021,61.6,63.2,0.89,0.885,0.677,0.875,0.832,0.896,0.848,1,5646,482.0,5163.0,951.0,1423,900,14565.0,0.151,33.0,37.0,4.0,5.0
4,AZ,Arizona,Social and Economic Factors,2021,36.3,39.8,0.889,0.824,0.68,0.933,0.889,0.832,0.853,1,41127,7413.0,13751.0,1945.0,2662,58449,125348.0,0.147,31.0,36.0,4.0,4.0
5,AR,Arkansas,Social and Economic Factors,2021,47.5,56.5,0.859,0.789,0.771,0.842,0.845,0.863,0.845,1,34480,14666.0,702.0,1148.0,1304,4628,56928.0,0.156,35.0,58.0,2.0,5.0
8,CO,Colorado,Social and Economic Factors,2021,44.9,50.0,0.915,0.86,0.775,0.919,0.904,0.859,0.896,1,33858,4196.0,1216.0,1728.0,2080,24927,68006.0,0.104,10.0,88.0,3.0,2.0
12,FL,Florida,Social and Economic Factors,2021,25.4,24.5,0.887,0.819,0.763,0.921,0.882,0.869,0.868,1,116279,83776.0,1453.0,5171.0,6158,83646,296483.0,0.132,26.0,69.0,3.0,4.0
16,ID,Idaho,Social and Economic Factors,2021,36.3,31.1,0.876,0.867,0.741,0.865,0.873,0.863,0.872,1,19612,285.0,645.0,472.0,700,4592,26307.0,0.128,24.0,72.0,3.0,3.0
17,IL,Illinois,Social and Economic Factors,2021,38.5,39.9,0.914,0.762,0.923,0.935,0.883,0.879,0.881,1,73927,64087.0,191.0,5352.0,4057,39767,187380.0,0.119,16.0,76.0,3.0,3.0
18,IN,Indiana,Social and Economic Factors,2021,38.2,33.9,0.891,0.795,0.85,0.946,0.869,0.856,0.879,1,69676,18749.0,293.0,1495.0,2833,9949,102995.0,0.121,18.0,80.0,2.0,3.0
19,IA,Iowa,Social and Economic Factors,2021,38.7,34.2,0.93,0.844,0.777,0.931,0.892,0.882,0.921,1,22893,3012.0,323.0,1079.0,1057,3585,31949.0,0.079,2.0,97.0,4.0,1.0
20,KS,Kansas,Social and Economic Factors,2021,34.7,36.0,0.91,0.831,0.775,0.937,0.87,0.869,0.897,1,23842,4497.0,892.0,894.0,1771,7213,39110.0,0.103,9.0,85.0,3.0,2.0
22,LA,Louisiana,Social and Economic Factors,2021,29.6,32.0,0.862,0.768,0.789,0.942,0.856,0.825,0.825,1,41737,50976.0,885.0,655.0,1385,5375,101013.0,0.175,39.0,34.0,3.0,5.0
23,ME,Maine,Social and Economic Factors,2021,26.3,30.5,0.899,0.85,0.796,0.97,0.859,0.933,0.898,1,13135,531.0,229.0,83.0,490,238,14707.0,0.102,7.0,88.0,3.0,2.0
24,MD,Maryland,Social and Economic Factors,2021,40.5,40.5,0.914,0.831,0.935,0.94,0.899,0.888,0.885,1,28796,39029.0,109.0,2452.0,2350,8681,81418.0,0.115,15.0,88.0,2.0,2.0
25,MA,Massachusetts,Social and Economic Factors,2021,33.0,32.0,0.935,0.884,0.724,0.952,0.917,0.856,0.919,1,37829,8330.0,461.0,3126.0,1842,18322,69910.0,0.081,3.0,82.0,5.0,1.0
26,MI,Michigan,Social and Economic Factors,2021,26.6,28.1,0.9,0.774,0.733,0.931,0.851,0.862,0.876,1,88290,46883.0,2219.0,3255.0,5922,11161,157729.0,0.125,21.0,58.0,4.0,3.0
27,MN,Minnesota,Social and Economic Factors,2021,25.0,25.0,0.94,0.867,0.728,0.909,0.904,0.862,0.924,1,29177,6511.0,2397.0,3744.0,2073,6187,50088.0,0.077,1.0,83.0,5.0,1.0
28,MS,Mississippi,Social and Economic Factors,2021,36.8,33.4,0.871,0.795,0.662,0.934,0.836,0.775,0.834,1,25152,34388.0,692.0,299.0,851,2892,64273.0,0.166,38.0,17.0,5.0,5.0
29,MO,Missouri,Social and Economic Factors,2021,37.2,42.7,0.898,0.815,0.781,0.945,0.892,0.891,0.886,1,56523,19673.0,765.0,1049.0,2234,4274,84519.0,0.114,13.0,80.0,3.0,2.0
31,NE,Nebraska,Social and Economic Factors,2021,30.2,25.5,0.935,0.827,0.821,0.91,0.895,0.851,0.915,1,11670,2385.0,441.0,669.0,634,4741,20540.0,0.085,4.0,100.0,3.0,1.0
32,NV,Nevada,Social and Economic Factors,2021,24.6,28.6,0.866,0.758,0.79,0.894,0.865,0.845,0.849,1,16713,7936.0,639.0,2718.0,1980,19219,49205.0,0.151,34.0,57.0,2.0,5.0
34,NJ,New Jersey,Social and Economic Factors,2021,30.4,29.8,0.918,0.806,0.801,0.939,0.897,0.866,0.89,1,42583,30796.0,330.0,5319.0,2208,32406,113642.0,0.11,12.0,83.0,3.0,2.0
35,NM,New Mexico,Social and Economic Factors,2021,49.1,49.1,0.863,0.793,0.715,0.929,0.894,0.843,0.836,1,9937,1173.0,7685.0,271.0,564,23063,42693.0,0.164,37.0,34.0,4.0,5.0
36,NY,New York,Social and Economic Factors,2021,43.0,43.0,0.907,0.809,0.807,0.92,0.886,0.836,0.876,1,114182,75424.0,1595.0,16587.0,6040,86985,300813.0,0.124,20.0,77.0,2.0,3.0
37,NC,North Carolina,Social and Economic Factors,2021,35.8,21.0,0.891,0.828,0.74,0.916,0.865,0.873,0.871,1,77442,53060.0,4061.0,2958.0,4315,17449,159285.0,0.129,25.0,67.0,3.0,3.0
39,OH,Ohio,Social and Economic Factors,2021,32.7,30.7,0.902,0.808,0.873,0.935,0.857,0.856,0.885,1,103069,40222.0,338.0,2236.0,6002,9286,161153.0,0.115,14.0,87.0,2.0,2.0
40,OK,Oklahoma,Social and Economic Factors,2021,22.6,24.8,0.874,0.798,0.788,0.897,0.835,0.857,0.855,1,35861,9193.0,10597.0,1471.0,5639,8971,71732.0,0.146,30.0,65.0,2.0,4.0
42,PA,Pennsylvania,Social and Economic Factors,2021,47.1,46.4,0.903,0.787,0.587,0.937,0.869,0.818,0.88,1,105167,44076.0,934.0,3814.0,4749,26045,184785.0,0.12,17.0,0.0,5.0,3.0
